hex	en	zh
#C93F38	100 Mph	时速百里
#A59344	18th Century Green	十八世纪绿
#7B463B	1975 Earth Red	土红
#DD3366	1989 Miami Hotline	一九八九迈阿密热线
#191970	20000 Leagues Under the Sea	海底两万里
#7FB9DD	21st Century Blue	二十一世纪蓝
#E56E24	24 Carrot	24K胡萝卜
#DFC685	24 Karat	24K金
#330404	3AM Breakup	凌晨三点分手
#225577	3AM in Shibuya	涩谷凌晨三点
#C0A98E	3AM Latte	凌晨三点拿铁
#D2D2C0	400XT Film	400XT胶片
#9BAFAD	5-Masted Preu?en	五桅普鲁士号
#990066	8 Bit Eggplant	8位像素茄
#3D1C02	90% Cocoa	90%可可
#000099	99 Years Blue	九十九年蓝
#FFAABB	A Brand New Day	崭新的一天
#D1EDEE	A Certain Shade of Green	某种绿调
#D3DDE4	A Dime a Dozen	平淡无奇
#9F9978	A Frond in Need	待援之叶
#F2850D	à l’Orange	橙香
#F6ECDE	A la Mode	流行风尚
#FFBCC5	A Lot of Love	满满的爱
#BCDDB3	A Mann’s Mint	曼恩薄荷
#B0B2BC	A Month of Sundays	漫长时光
#BFAF92	A Pair of Brown Eyes	一双棕眸
#BB8AA7	A Plum Job	美差
#F3E9D9	A Smell of Bakery	面包房的气息
#88FFCC	A State of Mint	州薄荷
#BABCCF	A Stitch in Time	及时一针
#A9BFC5	A-List Blue	一线明星蓝
#8BCECB	Aaquatic Wonderland	水上仙境
#00B89F	Aare River	阿勒河
#05A3AD	Aare River Brienz	布里恩茨阿勒河
#1150AF	Aarhusian Sky	奥胡斯天空
#231F20	Abaddon Black	地狱黑
#F2F1E6	Abaidh White	阿拜德白
#F8F3F6	Abalone	鲍鱼壳
#94877E	Abandoned Mansion	废弃宅邸
#746E6A	Abandoned Playground	废弃游乐场
#747A8A	Abandoned Spaceship	废弃飞船
#4C4F56	Abbey	修道院
#CD716B	Abbey Pink	修道院粉
#A79F92	Abbey Road	艾比路
#ABA798	Abbey Stone	修道院石
#ECE6D0	Abbey White	修道院白
#4D3C2D	Abbot	方丈褐
#166461	Abduction	绑架蓝
#F5ECDA	Abel	亚伯白
#5BA8FF	?bi Blue	阿比蓝
#EAE3D2	Abilene Lace	阿比林蕾丝
#C04641	Ablaze	烈焰
#F1CBCD	Abloom	盛放
#77AA77	Abomination	可憎绿
#E0DDBE	Above Board	光明正大
#966165	Abra Cadabra	咒语
#EEC400	Abra Goldenrod	阿布拉秋麒麟
#462E6E	Abra Purple	阿布拉紫
#15151C	Absence of Light	无光之境
#7F8B30	Absinthe Dreams	苦艾酒梦
#76B583	Absinthe Green	苦艾酒绿
#008A60	Absinthe Turquoise	苦艾酒青
#FF9944	Absolute Apricot	纯正杏色
#877D65	Absolute Olive	纯正橄榄
#0048BA	Absolute Zero	绝对零度
#E4CB97	Abstract	抽象
#EDE9DD	Abstract White	抽象白
#629763	Abundance	丰盈
#A19361	Abura Green	阿布拉绿
#8F9E9D	Abyss	深渊
#404C57	Abyssal	深渊之底
#1B2632	Abyssal Anchorfish Blue	深海鮟鱇蓝
#00035B	Abyssal Blue	深渊蓝
#10246A	Abyssal Depths	深渊深处
#005765	Abyssal Waters	深渊之域
#3D5758	Abysse	深渊
